title,author,Practices,method,link,Disciplines,journal,medium,keywords,location,Relevance,Impact Scale (0-10),Notes
Second-Order Optimality and Beyond: Characterization and Evaluation Complexity in Convexly Constrained Nonlinear Optimization,"Cartis, Coralia; Gould, Nick I. M.; Toint, Philippe L.",,,,,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,article,Nonlinear optimization; High-order optimality conditions; Complexity theory; Machine learning,,,,
Intelligence and global health: assessing the role of open source and social media intelligence analysis in infectious disease outbreaks,"Bernard, Rose; Bowsher, G.; Milner, C.; Boyle, P.; Patel, P.; Sullivan, R.",,,,,JOURNAL OF PUBLIC HEALTH-HEIDELBERG,article,Epidemics; Intelligence; Global health; OSINT; SIGINT,,,,
Algorithmic accountability,"Shah, Hetan",,,,,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,article,,,,,
A cloud-based remote sensing data production system,"Yan, Jining; Ma, Yan; Wang, Lizhe; Choo, Kim-Kwang Raymond; Jie, Wei",,,,,FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,article,Remote sensing; Cloud computing; Big data,,,,
"Inferring locomotor behaviours in Miocene New World monkeys using finite element analysis, geometric morphometrics and machine-learning classification techniques applied to talar morphology","Puschel, Thomas A.; Marce-Nogue, Jordi; Gladman, Justin T.; Bobe, Rene; Sellers, William, I",,,,,JOURNAL OF THE ROYAL SOCIETY INTERFACE,article,Platyrrhini; finite-element modelling; morphometrics; talus; statistical learning; positional behaviour,,,,
Designing a research infrastructure on dietary intake and its determinants,"Bogaardt, M. -J.; Geelen, A.; Zimmermann, K.; Finglas, P.; Raats, M. M.; Mikkelsen, B. E.; Poppe, K. J.; van't Veer, P.",,,,,NUTRITION BULLETIN,article,big data; consumers; diet; food; public health; research infrastructure,,,,
Parapred: antibody paratope prediction using convolutional and recurrent neural networks,"Liberis, Edgar; Velickovic, Petar; Sormanni, Pietro; Vendruscolo, Michele; Lio, Pietro",,,,,BIOINFORMATICS,article,,,,,
Accompanying technology development in the Human Brain Project: From foresight to ethics management,"Aicardi, Christine; Fothergill, B. Tyr; Rainey, Stephen; Stahl, Bernd Carsten; Harris, Emma",,,,,FUTURES,article,Responsible research and innovation; Human Brain Project; Foresight; Ethics management; Artificial intelligence,,,,
Using routinely collected data to understand and predict adverse outcomes in opioid agonist treatment: Protocol for the Opioid Agonist Treatment Safety (OATS) Study,"Larney, Sarah; Hickman, Matthew; Fiellin, David A.; Dobbins, Timothy; Nielsen, Suzanne; Jones, Nicola R.; Mattick, Richard P.; Ali, Robert; Degenhardt, Louisa",,,,,BMJ OPEN,article,opiate substitution treatment; methadone; buprenorphine; data linkage,,,,
Why and how to use virtual reality to study human social interaction: The challenges of exploring a new research landscape,"Pan, Xueni; Hamilton, Antonia F. de C.",,,,,BRITISH JOURNAL OF PSYCHOLOGY,article,virtual reality; psychology; social interaction; virtual humans,,,,
"The future decisions of RoboJudge HHJ Arthur Ian Blockchain: Dread, delight or derision?","Castell, Stephen",,,,,COMPUTER LAW & SECURITY REVIEW,article,Intelligence; Blockchain; Robot; Ethic; Algorithm; Crypto,,,,
A roadmap for restoring trust in Big Data,"Lawler, Mark; Morris, Andrew D.; Sullivan, Richard; Birney, Ewan; Middleton, Anna; Makaroff, Lydia; Knoppers, Bartha M.; Horgan, Denis; Eggermont, Alexander",,,,,LANCET ONCOLOGY,article,,,,,
A recent review of conventional vs. automated cybersecurity anti-phishing techniques,"Qabajeh, Issa; Thabtah, Fadi; Chiclana, Francisco",,,,,COMPUTER SCIENCE REVIEW,article,Classification; Computer security; Phishing; Machine learning; Web security; Security awareness,,,,
Learning analytics and dental education; choices and challenges,"Zijlstra-Shaw, S.; Stokes, C. W.",,,,,EUROPEAN JOURNAL OF DENTAL EDUCATION,article,ethics; learning analytics,,,,
A novel Big Data analytics and intelligent technique to predict driver's intent,"Birek, Lech; Grzywaczewski, Adam; Iqbal, Rahat; Doctor, Faiyaz; Chang, Victor",,,,,COMPUTERS IN INDUSTRY,article,Driver's intent prediction; Big Data; Big Data analytics; Computational intelligence; E-calendar; Geo referencing,,,,
The extended ramp model: A biomimetic model of behaviour arbitration for lightweight cognitive architectures,"Gaudl, Swen E.; Bryson, Joanna J.",,,,,COGNITIVE SYSTEMS RESEARCH,article,Reactive planning; Action selection; BBAI; POSH; BOD; Bio-inspiration; Modelling; Behaviour design; Curiosity,,,,
Health Care Robotics: Qualitative Exploration of Key Challenges and Future Directions,"Cresswell, Kathrin; Cunningham-Burley, Sarah; Sheikh, Aziz",,,,,JOURNAL OF MEDICAL INTERNET RESEARCH,article,robotics; health care; sociotechnical,,,,
Appetitive information seeking behaviour reveals robust daily rhythmicity for Internet-based food-related keyword searches,"Alvarado, Nicolas Scrutton; Stevenson, Tyler J.",,,,,ROYAL SOCIETY OPEN SCIENCE,article,human; chronotypes; big-data; Google; foraging theory,,,,
A Review of User Interface Design for Interactive Machine Learning,"Dudley, John J.; Kristensson, Per Ola",,,,,ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,article,Interactive machine learning; interface design,,,,
Challenges and Potential Opportunities of Mobile Phone Call Detail Records in Health Research: Review,"Jones, Kerina Helen; Daniels, Helen; Heys, Sharon; Ford, David Vincent",,,,,JMIR MHEALTH AND UHEALTH,article,call detail records; mobile phone data; health research,,,,
What Are Data? A Categorization of the Data Sensitivity Spectrum,"Rumbold, John M. M.; Pierscionek, Barbara K.",,,,,BIG DATA RESEARCH,article,Big Data; Information ethics; Data science,,,,
Reputation assessment: a review and unifying abstraction,"Taylor, Phillip; Barakat, Lina; Miles, Simon; Griffiths, Nathan",,,,,KNOWLEDGE ENGINEERING REVIEW,article,,,,,
"Normative challenges of identification in the Internet of Things: Privacy, profiling, discrimination, and the GDPR","Wachter, Sandra",,,,,COMPUTER LAW & SECURITY REVIEW,article,Data protection; Digital Ethics; Identity; Identification; Internet of Things; Privacy; Profiling; Discrimination; GDPR; Review,,,,
Analysis of Factors that Influence Customers' Willingness to Leave Big Data Digital Footprints on Social Media: A Systematic Review of Literature,"Muhammad, Syed Sardar; Dey, Bidit Lal; Weerakkody, Vishanth",,,,,INFORMATION SYSTEMS FRONTIERS,article,Big data digital footprint; Social media; Privacy and security; Technology; Personal behaviour; Social influence,,,,
Platforms and Infrastructures in the Digital Age,"Constantinides, Panos; Henfridsson, Ola; Parker, Geoffrey G.",,,,,INFORMATION SYSTEMS RESEARCH,article,digital platforms; digital infrastructure; architecture; governance; platform scale; platform policy,,,,
Artificial intelligence: A joint narrative on potential use in pediatric stem and immune cell therapies and regenerative medicine,"Sniecinski, Irena; Seghatchian, Jerard",,,,,TRANSFUSION AND APHERESIS SCIENCE,article,Artificial intelligence; Computational science; Computational algorithm; Cancer; Immune therapy; Regenerative medicine,,,,
DTRM: A new reputation mechanism to enhance data trustworthiness for high-performance cloud computing,"Lin, Hui; Hu, Jia; Xu, Chuanfeng; Ma, Jianfeng; Yu, Mengyang",,,,,FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,article,Cloud computing; Reputation mechanism; Trustworthiness; Data veracity,,,,
People's Councils for Ethical Machine Learning,"McQuillan, Dan",,,,,SOCIAL MEDIA + SOCIETY,article,big data; ethics; Hannah Arendt; machine learning,,,,
Autonomous agents modelling other agents: A comprehensive survey and open problems,"Albrecht, Stefano V.; Stone, Peter",,,,,ARTIFICIAL INTELLIGENCE,article,Autonomous agents; Multiagent systems; Modelling other agents; Opponent modelling,,,,
Ethics and Privacy in Al and Big Data: Implementing Responsible Research and Innovation,"Stahl, Bernd Carsten; Wright, David",,,,,IEEE SECURITY & PRIVACY,article,,,,,
Clinical validation of a public health policy-making platform for hearing loss (EVOTION): protocol for a big data study,Explanation Mining: Post Hoc Interpretability of Latent Factor Models for Recommendation Systems,,,,,BMJ OPEN,article,,,,,
Big Data and medicine: a big deal?,"Mayer-Schonberger, V.; Ingelsson, E.",,,,,JOURNAL OF INTERNAL MEDICINE,article,big data; medicine,,,,
"Big Data, Method and the Ethics of Location: A Case Study of a Hookup App for Men Who Have Sex with Men","Light, Ben; Mitchell, Peta; Wikstrom, Patrik",,,,,SOCIAL MEDIA + SOCIETY,article,big data; ethics; locative media; hookup apps; dating apps; gender and sexuality,,,,
Better Diffusion Segmentation in Acute Ischemic Stroke Through Automatic Tree Learning Anomaly Segmentation,"Boldsen, Jens K.; Engedal, Thorbjorn S.; Pedraza, Salvador; Cho, Tae-Hee; Thomalla, Goetz; Nighoghossian, Norbert; Baron, Jean-Claude; Fiehlers, Jens; Ostergaard, Leif; Mouridseni, Kim",,,,,FRONTIERS IN NEUROINFORMATICS,article,stroke; diffusion MRI; segmentation; diffusion lesion; computer learning; decision trees,,,,
Big data from electronic health records for early and late translational cardiovascular research: challenges and potential,"Hemingway, Harry; Asselbergs, Folkert W.; Danesh, John; Dobson, Richard; Maniadakis, Nikolaos; Maggioni, Aldo; van Thiel, Ghislaine J. M.; Cronin, Maureen; Brobert, Gunnar; Vardas, Panos; Anker, Stefan D.; Grobbee, Diederick E.; Denaxas, Spiros",,,,,EUROPEAN HEART JOURNAL,article,Electronic health records; Heattll informatics; Bio-informatics; e-Health; Precision medicine; Translational research,,,,
The ICO and artificial intelligence: The role of fairness in the GDPR framework,"Butterworth, Michael",,,,,COMPUTER LAW & SECURITY REVIEW,article,Artificial intelligence (AI); Big data analytics; General Data Protection Regulation (GDPR); Fairness; Regulations; Collective rights; Data ethics,,,,
"Artificial Intelligence and the 'Good Society': the US, EU, and UK approach","Cath, Corinne; Wachter, Sandra; Mittelstadt, Brent; Taddeo, Mariarosaria; Floridi, Luciano",,,,,SCIENCE AND ENGINEERING ETHICS,article,Algorithms; Artificial intelligence; Data ethics; Good society; Human dignity,,,,
Automation of CT-based haemorrhagic stroke assessment for improved clinical outcomes: study protocol and design,"Chinda, Betty; Medvedev, George; Siu, William; Ester, Martin; Arab, Ali; Gu, Tao; Moreno, Sylvain; D'Arcy, Ryan C. N.; Song, Xiaowei",,,,,BMJ OPEN,article,,,,,
Media Materialties: For A Moral Economy of Machines,"Murdock, Graham",,,,,JOURNAL OF COMMUNICATION,article,Materiality; Moral Economy; Infrastructures; Robotics; Environmental Impacts; Global Production Chains; Internet; Consumerism,,,,
Hospital heterogeneity: what drives the quality of health care,"Ali, Manhal; Salehnejad, Reza; Mansur, Mohaimen",,,,,EUROPEAN JOURNAL OF HEALTH ECONOMICS,article,Health care quality; Stroke; NHS; Machine learning; Regression trees; Panel data; Prediction; Mixed effects model,,,,
Stratified prevention: opportunities and limitations. Report on the 1st interdisciplinary cardiovascular workshop in Augsburg,"Kirchhof, Gregor; Lindner, Josef Franz; Achenbach, Stephan; Berger, Klaus; Blankenberg, Stefan; Fangerau, Heiner; Gimpel, Henner; Gassner, Ulrich M.; Kersten, Jens; Magnus, Dorothea; Rebscher, Herbert; Schunkert, Heribert; Rixen, Stephan; Kirchhof, Paulus",,,,,CLINICAL RESEARCH IN CARDIOLOGY,article,Genomics; Prevention; Heart failure; Atrial fibrillation; Stratified medicine; Personalised medicine; Payor; Health economics,,,,
Malware classification using self organising feature maps and machine activity data,"Burnap, Pete; French, Richard; Turner, Frederick; Jones, Kevin",,,,,COMPUTERS & SECURITY,article,Malware; Machine learning; Self organising maps; Intrusion detection; Data science; Security operation centre,,,,
Patiency is not a virtue: the design of intelligent systems and systems of ethics,"Bryson, Joanna J.",,,,,ETHICS AND INFORMATION TECHNOLOGY,article,Moral patiency; Moral agency; Ethics; Systems artificial intelligence; Strong AI,,,,
"Face Recognition Abilities in Iraqi Medical Students: An Inferential, Cross Sectional Analysis","Al-Imam, Ahmed; Ali, Hussein; Saad, Ali",,,,,IRANIAN JOURNAL OF PSYCHIATRY AND BEHAVIORAL SCIENCES,article,Biometric Identification; Cerebral Dominance; Facial Recognition; Law Enforcement; Prosopagnosia,,,,
"Combat Drones: Hives, Swarms, and Autonomous Action?","Grimal, Francis; Sundaram, Jae",,,,,JOURNAL OF CONFLICT & SECURITY LAW,article,,,,,
"A smart place to work? Big data systems, labour, control and modern retail stores","Evans, Leighton; Kitchin, Rob",,,,,NEW TECHNOLOGY WORK AND EMPLOYMENT,article,retail; control; discipline; code; space; labour; big data; automation,,,,
"Landslide susceptibility modeling applying machine learning methods: A case study from Longju in the Three Gorges Reservoir area, China","Zhou, Chao; Yin, Kunlong; Cao, Ying; Ahmed, Bayes; Li, Yuanyao; Catani, Filippo; Pourghasemi, Hamid Reza",,,,,COMPUTERS & GEOSCIENCES,article,Landslide susceptibility modeling; Machine learning; Support vector machine (SVM); Artificial neural network (ANN); Logistic regression (LR),,,,
Varieties of political support in emerging democracies: A cross-national analysis,"Katz, Gabriel; Levin, Ines",,,,,SOCIAL SCIENCE RESEARCH,article,Political support; Latin American politics; Machine learning; Latent class analysis; Bayesian inference,,,,
"The limits of responsible innovation: Exploring care, vulnerability and precision medicine","Kerr, Anne; Hill, Rosemary L.; Till, Christopher",,,,,TECHNOLOGY IN SOCIETY,article,,,,,
"Machine learning, social learning and the governance of self-driving cars","Stilgoe, Jack",,,,,SOCIAL STUDIES OF SCIENCE,article,autonomous vehicles; machine learning; responsible innovation; self-driving cars; social learning,,,,
Digital health: meeting the ethical and policy challenges,"Effy, Vayena; Tobias, Haeusermann; Afua, Adjekum; Alessandro, Blasimme",,,,,SWISS MEDICAL WEEKLY,article,digital health; personalised health; digital ethics; data governance,,,,
From social interaction to ethical AI: a developmental roadmap,"Rolf, Matthias; Crook, Nigel; Steil, Jochen J.",,,,,2018 JOINT IEEE 8TH INTERNATIONAL CONFERENCE ON DEVELOPMENT AND LEARNING AND EPIGENETIC ROBOTICS (ICDL-EPIROB),article,,,,,
TAPESTRY: Visualizing Interwoven Identities for Trust Provenance,"Yang, Yifan; Collomosse, John; Manohar, Arthi Kanchana; Briggs, Jo; Steane, Jamie",,,,,2018 IEEE SYMPOSIUM ON VISUALIZATION FOR CYBER SECURITY (VIZSEC 2018),article,[Machine Learning]: Topic modeling; Long Short Term Memory; [Human Computer Interaction]: Usability testing,,,,
An Authentic Self: Big Data and Passive Digital Footprints,"Williams, L. Y.; Pennington, D. M.",,,,,PROCEEDINGS OF THE TWELFTH INTERNATIONAL SYMPOSIUM ON HUMAN ASPECTS OF INFORMATION SECURITY & ASSURANCE (HAISA 2018),article,,,,,
Multi-view Brain Network Prediction from a Source View Using Sample Selection via CCA-Based Multi-kernel Connectomic Manifold Learning,"Zhu, Minghui; Rekik, Islem",,,,,PREDICTIVE INTELLIGENCE IN MEDICINE,article,,,,,
Data-Specific Feature Selection Method Identification for Most Reproducible Connectomic Feature Discovery Fingerprinting Brain States,"Georges, Nicolas; Rekik, Islem",,,,,"CONNECTOMICS IN NEUROIMAGING, CNI 2018",article,,,,,
Explicating the Challenges of Providing Novel Media Experiences Driven by User Personal Data,"Sailaja, Neelima; Crabtree, Andy; McAuley, Derek; Stenton, Phil",,,,,TVX 2018: PROCEEDINGS OF THE 2018 ACM INTERNATIONAL CONFERENCE ON INTERACTIVE EXPERIENCES FOR TV AND ONLINE VIDEO,article,Media; personal data; data; interviews,,,,
Adaptive Optimization of Sparse Matrix-Vector Multiplication on Emerging Many-Core Architectures,"Chen, Shizhao; Fang, Jianbin; Chen, Donglin; Xu, Chuanfu; Wang, Zheng",,,,,IEEE 20TH INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING AND COMMUNICATIONS / IEEE 16TH INTERNATIONAL CONFERENCE ON SMART CITY / IEEE 4TH INTERNATIONAL CONFERENCE ON DATA SCIENCE AND SYSTEMS (HPCC/SMARTCITY/DSS),article,Sparse matrix vector multiplication; Performance optimization; Many-Cores; Performance analysis,,,,
Annotator Trustability-based Cooperative Learning Solutions for Intelligent Audio Analysis,"Hantke, Simone; Stemp, Christoph; Schuller, Bjoern",,,,,"19TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION (INTERSPEECH 2018), VOLS 1-6: SPEECH RESEARCH FOR EMERGING MARKETS IN MULTILINGUAL SOCIETIES",article,Audio Processing; Crowdsourcing; Cooperative Learning; Machine Learning; Annotator Trustability,,,,
Machine Learning to Predict Toxicity of Compounds,"Grenet, Ingrid; Yin, Yonghua; Comet, Jean-Paul; Gelenbe, Erol",,,,,"ARTIFICIAL NEURAL NETWORKS AND MACHINE LEARNING - ICANN 2018, PT I",article,Machine learning; Toxicity; QSAR; Data augmentation,,,,
e-SNLI: Natural Language Inference with Natural Language Explanations,"Camburu, Oana-Maria; Rocktaschel, Tim; Lukasiewicz, Thomas; Blunsom, Phil",,,,,ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 31 (NIPS 2018),article,,,,,
Provisioning Robust and Interpretable AI/ML-based Service Bundles,"Preece, Alun; Harborne, Dan; Raghavendra, Ramya; Tomsett, Richard; Braines, Dave",,,,,2018 IEEE MILITARY COMMUNICATIONS CONFERENCE (MILCOM 2018),article,intelligence; surveillance and reconnaissance; robustness; interpretability; reasoning; machine learning,,,,
"Analysing Activities, Contextualized for General Health, Depression and Demographics","Murtagh, Fionn",,,,,2018 IEEE 5TH INTERNATIONAL CONFERENCE ON DATA SCIENCE AND ADVANCED ANALYTICS (DSAA),article,Correspondence analysis; latent semantic analysis; contextualization; addressing Big Data bias and ethics relating to aggregation,,,,
AI/VR: situated animation in the Library of Babel,"Dare, Eleanor",,,,,2018 IEEE 1ST WORKSHOP ON ANIMATION IN VIRTUAL AND AUGMENTED ENVIRONMENTS (ANIVAE),article,VR; Artificial Intelligence; Situated Computing; Embodiment,,,,
Optimising Cloud-Based Hadoop 2.x Applications,"Alasmari, Naif; Calinescu, Radu",,,,,2018 IEEE/ACM INTERNATIONAL CONFERENCE ON UTILITY AND CLOUD COMPUTING COMPANION (UCC COMPANION),article,,,,,
Towards Ethics in Robotic Cities,"Sindi, Yosoph Hassan Othman; Ascencio, Raul Leal; Emes, Michael",,,,,2018 IEEE GLOBAL CONFERENCE ON INTERNET OF THINGS (GCIOT),article,AI safety Engineering; BIM3; IoRT; prosumers; robotic cities; socio-technical; techno-social; wicked problems,,,,
MIRIAM: A Multimodal Interface for Explaining the Reasoning Behind Actions of Remote Autonomous Systems,"Hastie, Helen; Garcia, Francisco J. Chiyah; Robb, David A.; Laskov, Atanas; Patron, Pedro",,,,,ICMI'18: PROCEEDINGS OF THE 20TH ACM INTERNATIONAL CONFERENCE ON MULTIMODAL INTERACTION,article,Multimodal output; natural language generation; autonomous systems; trust; transparency; explainable AI,,,,
Artificial intelligence and augmented intelligence collaboration: regaining trust and confidence in the financial sector,"Lui, Alison; Lamb, George William",,,,,INFORMATION & COMMUNICATIONS TECHNOLOGY LAW,article,Artificial intelligence; augmented intelligence collaboration; financial regulation; FinTech; RegTech,,,,
Smart governance: Opportunities for technologically-mediated citizen co-production,"Webster, C. William R.; Leleux, Charles",,,,,INFORMATION POLITY,article,Smart governance; citizen co-production; technologically-mediated municipal reciprocity; egovernance; eGovernment (eGov); Information and Communication Technologies (ICTs); sustainability,,,,
Neural Networks for Information Retrieval,"Kenter, Tom; Borisov, Alexey; Van Gysel, Christophe; Dehghani, Mostafa; de Rijke, Maarten; Mitra, Bhaskar",,,,,WSDM'18: PROCEEDINGS OF THE ELEVENTH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING,article,,,,,
The Futures of Computing and Wisdom,"Pargman, Daniel; Kirman, Ben; Eriksson, Elina; Bates, Oliver; Comber, Rob",,,,,NORDICHI'18: PROCEEDINGS OF THE 10TH NORDIC CONFERENCE ON HUMAN-COMPUTER INTERACTION,article,Wisdom; design fiction; fictional abstracts; ethics; sustainability; politics; justice; social action; social change,,,,
CONFIDENCE ANALYSIS FOR BREAST MASS IMAGE CLASSIFICATION,"Rampun, Andrik; Wang, Hui; Scotney, Bryan; Morrow, Philip; Zwiggelaar, Reyer",,,,,2018 25TH IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP),article,Confidence Level; Breast Mass Classification; Computer Aided Diagnosis; Machine Learning,,,,
What are You Listening to? Explaining Predictions of Deep Machine Listening Systems,"Mishra, Saumitra; Sturm, Bob L.; Dixon, Simon",,,,,2018 26TH EUROPEAN SIGNAL PROCESSING CONFERENCE (EUSIPCO),article,Deep neural networks; visualisation; interpretable machine learning; machine listening,,,,
Smartphone applications for triaging adults with skin lesions that are suspicious for melanoma,"Chuchu, Naomi; Takwoingi, Yemisi; Dinnes, Jacqueline; Matin, Rubeta N.; Bassett, Oliver; FMoreau, Jacqueline; Bayliss, Susan E.; Davenport, Clare; Godfrey, Kathie; O'Connell, Susan; Jain, Abhilash; Walter, Fiona M.; Deeks, Jonathan J.; Williams, Hywel C.; Abbott, Rachel; Aldridge, Ben; Bassett, Oliver; Chan, Sue Ann; Durack, Alana; Fawzy, Monica; Gulati, Abha; Moreau, Jacqui; Patel, Lopa; Saleh, Daniel; Thompson, David; Wong, Kai Yuen; di Ruffano, Lavinia Ferrante; Johnston, Louise; Jain, Abhilash; Walter, Fiona; Bowling, Jonathan; Cheung, Seau Tak; Fleming, Colin; Gardiner, Matthew; Jain, Abhilash; O'Connell, Susan; Lawton, Pat; Lear, John; Leeflang, Mariska; Motley, Richard; Nathan, Paul; Newton-Bishop, Julia; Payne, Miranda; Robinson, Rachael; Rodwell, Simon; Schofield, Julia; Shroff, Neil; Tehrani, Hamid; Traill, Zoe; Walter, Fiona; Webster, Angela",,,,,COCHRANE DATABASE OF SYSTEMATIC REVIEWS,article,,,,,
Explanation Mining: Post Hoc Interpretability of Latent Factor Models for Recommendation Systems,"Peake, Georgina; Wang, Jun",,,,,KDD'18: PROCEEDINGS OF THE 24TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING,article,interpretability; recommendation systems; association rules; latent factor models; explanations; black-box; white-box,,,,
Unveiling the oracle: Artificial intelligence for the 21st century,"Cerutti, Federico; Grassi, Alessia; Vallati, Mauro",,,,,INTELLIGENT DECISION TECHNOLOGIES-NETHERLANDS,article,Artificial intelligence; argumentation; AI and society,,,,
Classification of Mammographic Microcalcification Clusters With Machine Learning Confidence Levels,"Rampun, Andrik; Wang, Hui; Scotney, Bryan; Morrow, Philip; Zwiggelaar, Reyer",,,,,14TH INTERNATIONAL WORKSHOP ON BREAST IMAGING (IWBI 2018),article,Microcalcification; Confidence Levels; Breast Mammography; Computer-Aided Diagnosis,,,,
Reasoning and Learning Services for Coalition Situational Understanding,"Harborne, Dan; Raghavendra, Ramya; Willis, Chris; Chakraborty, Supriyo; Dewan, Pranita; Srivatsa, Mudhakar; Tomsett, Richard; Preece, Alun",,,,,"GROUND/AIR MULTISENSOR INTEROPERABILITY, INTEGRATION, AND NETWORKING FOR PERSISTENT ISR IX",article,Situational Understanding; Artificial Intelligence for Situational Understanding; Machine Learning Interpretability,,,,
Unsupervised Learning for Trustworthy IoT,"Banerjee, Nikhil; Giannetsos, Thanassis; Panaousis, Emmanouil; Took, Clive Cheong",,,,,2018 IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS (FUZZ-IEEE),article,Machine learning; classification; Mobile Crowd-Sensing; data trustworthiness,,,,
A preliminary study on Hybrid Spill-Tree Fuzzy k-Nearest Neighbors for big data classification,"Maillo, Jesus; Luengo, Julian; Garcia, Salvador; Herrera, Francisco; Triguero, Isaac",,,,,2018 IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS (FUZZ-IEEE),article,,,,,
Brave new world: service robots in the frontline,"Wirtz, Jochen; Patterson, Paul G.; Kunz, Werner H.; Gruber, Thorsten; Lu, Vinh Nhat; Paluch, Stefanie; Martins, Antje",,,,,JOURNAL OF SERVICE MANAGEMENT,article,Consumer behaviour; Ethics; Artificial intelligence; Privacy; Service robots; Markets,,,,
Towards an Ethical Security Platform,"Cadzow, Scott",,,,,"HUMAN-COMPUTER INTERACTION: THEORIES, METHODS, AND HUMAN ISSUES, HCI INTERNATIONAL 2018, PT I",article,Security; Safety; Ethics; Artificial Intelligence Machine Learning,,,,
Internet of Musical things: Visit and Challenges,"Turchet, Luca; Fischione, Carlo; Essl, Georg; Keller, Damian; Barthet, Mathieu",,,,,IEEE ACCESS,article,Internet of Things; sound and music computing; ubiquitous music; mobile music; networked music performance; participatory art,,,,
Towards Hardware Accelerated Reinforcement Learning for Application-Specific Robotic Control,"Shao, Shengjia; Tsai, Jason; Mysior, Michal; Luk, Wayne; Chau, Thomas; Warren, Alexander; Jeppesen, Ben",,,,,"2018 IEEE 29TH INTERNATIONAL CONFERENCE ON APPLICATION-SPECIFIC SYSTEMS, ARCHITECTURES AND PROCESSORS (ASAP)",article,,,,,
"Fog Computing: Survey of Trends, Architectures, Requirements, and Research Directions","Naha, Ranesh Kumar; Garg, Saurabh; Georgakopoulos, Dimitrios; Jayaraman, Prem Prakash; Gao, Longxiang; Xiang, Yong; Ranjan, Rajiv",,,,,IEEE ACCESS,article,Fog computing; Internet of Things (IoT); fog devices; fault tolerance; IoT application; microservices,,,,
"Changing Character, Changing Context: Enhancing Operational Airpower Employment in the Royal Air Force's Second Century","Stringer, Johnny",,,,,RUSI JOURNAL,article,,,,,
A Secured Data Management Scheme for Smart Societies in Industrial Internet of Things Environment,"Babar, Muhammad; Khan, Fazlullah; Iqbal, Waseem; Yahya, Abid; Arif, Fahim; Tan, Zhiyuan; Chuma, Joseph M.",,,,,IEEE ACCESS,article,Demand side management; home area network; industrial Internet of Things; security; smart societies; trust,,,,
AI personalities: clues from animal research,"De Winter, Gunnar",,,,,JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,article,Artificial intelligence; animal personality; behaviour; variation; interaction; ethics,,,,
Trustability-Based Dynamic Active Learning for Crowdsourced Labelling of Emotional Audio Data,"Hantke, Simone; Abstreiter, Alexander; Cummins, Nicholas; Schuller, Bjoern",,,,,IEEE ACCESS,article,Audio processing; crowdsourcing; dynamic active leaning; machine learning; user trustability,,,,
Voice and Presence in L'Eve future and Le Surmale,"Chalmers, Madeleine",,,,,DIX-NEUF,article,Voice; presence; phonograph; technology; Villiers de l'Isle-Adam; Alfred Jarry; automata,,,,
The Reasonable Computer: Disrupting the Paradigm of Tort Liability,"Abbott, Ryan",,,,,GEORGE WASHINGTON LAW REVIEW,article,,,,,
"Performing that which exceeds us: aesthetics of sincerity and obscenity during ""the refugee crisis'","Zaroulia, Marilena",,,,,RIDE-THE JOURNAL OF APPLIED THEATRE AND PERFORMANCE,article,Excess; migration; Ai Weiwei; Fire at Sea; affect,,,,
Energy-related environmental and economic performance analysis of two different types of electrically heated student residence halls,"Amber, Khuram Pervez; Aslam, Muhammad Waqar",,,,,INTERNATIONAL JOURNAL OF SUSTAINABLE ENERGY,article,Electricity consumption; CO2 emissions; student residence halls; university residences,,,,
On the use of nanomechanical atomic force microscopy to characterise oil-exposed surfaces,"Kaimaki, Domna-Maria; Smith, Ben E.; Durkan, Colm",,,,,RSC ADVANCES,article,,,,,
Computational techniques for ECG analysis and interpretation in light of their contribution to medical advances,"Lyon, Aurore; Minchole, Ana; Pablo Martinez, Juan; Laguna, Pablo; Rodriguez, Blanca",,,,,JOURNAL OF THE ROYAL SOCIETY INTERFACE,article,machine learning; computer simulations; electrocardiogram; interpretation and analysis; classification,,,,
Benefits and Challenges in the Use of Big Data and AI,"Bacon, Liz",,,,,"2018 19TH IEEE/ACIS INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING, ARTIFICIAL INTELLIGENCE, NETWORKING AND PARALLEL/DISTRIBUTED COMPUTING (SNPD)",article,,,,,
